src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
0.0.0.0,255.255.255.255,68,67,17,2018-09-14 18:40:27,59367988.0,47.971981128954546,0.13475275598020942,0.13475275598020942,0.0,8,0,2848,0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,356,356,356.0,0.0,0.0,64,0,8,8,8481141.142857144,16435430.0,519418.0,5160541.506891347,59367988.0,16435430.0,519418.00000000006,8481141.142857144,5160541.506891347,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,356.0,0,0,15916012.0,3718052.0,9817032.0,6098980.0,16435430.0,2469461.0,6522524.2,5054505.497862571,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0,8,0,2848,0
192.168.100.102,224.0.0.251,5353,5353,17,2018-09-14 18:43:46,7003500.0,141.07232098236597,0.5711429999286072,0.5711429999286072,0.0,4,0,988,0,247.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,247,247,247.0,0.0,0.0,32,0,8,4,2334500.0,3999468.0,999432.0,1246777.0471162838,7003500.0,3999468.0,999432.0,2334500.0,1246777.0471162838,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,247.0,0,0,0.0,0.0,0.0,0.0,1994868.0,999432.0,1333156.0,467906.9021589658,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0,4,0,988,0
0.0.0.0,255.255.255.255,68,67,17,2018-09-14 18:46:29,132054323.00000001,57.50663687094893,0.15902546408874474,0.15902546408874474,0.0,21,0,7594,0,418.0,356.0,361.6190476190476,17.343795900431594,0.0,0.0,0.0,0.0,418,356,361.6190476190476,17.343795900431594,300.80725623582777,168,0,8,21,6602716.15,14965148.0,557905.0,4375224.8691906715,132054323.0,14965148.0,557905.0,6602716.15,4375224.869190671,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,361.6190476190476,0,0,11403898.0,85978.0,8323806.5,4760521.675289039,12500102.0,101956.0,3565540.076923077,3564267.0311565185,0.0,0.0,0.0,0.0,0.0,0.0,361.6190476190476,0.0,0,21,0,7594,0
192.168.100.1,192.168.100.118,67,68,17,2018-09-14 18:46:52,2231.0,306588.9735544599,896.4589870013448,896.4589870013448,0.0,2,0,684,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,342,342,342.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0,2,0,684,0
192.168.100.118,224.0.0.251,5353,5353,17,2018-09-14 18:46:54,2761934.0,1025.3684555822115,2.1723907957250246,2.1723907957250246,0.0,6,0,2832,0,485.0,459.0,472.0,13.0,0.0,0.0,0.0,0.0,485,459,472.0,13.0,169.0,48,0,8,6,552386.8,1000438.0,250342.0,365742.42965967185,2761934.0,1000437.9999999999,250342.0,552386.8,365742.4296596718,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,472.0,0,0,0.0,0.0,0.0,0.0,739830.0,10266.0,333490.3333333333,303586.3704673771,1746.0,4.0,0.0,0.0,2293.370111319082,0.0,472.0,0.0,0,6,0,2832,0
192.168.100.118,239.255.255.250,1900,1900,17,2018-09-14 18:46:55,256838.99999999997,8363.21586674921,23.36093817527712,23.36093817527712,0.0,6,0,2148,0,363.0,354.0,358.0,3.7416573867739413,0.0,0.0,0.0,0.0,363,354,358.0,3.7416573867739413,14.0,48,0,8,6,51367.8,51481.0,51212.0,118.03965435395006,256839.0,51481.0,51212.0,51367.8,118.03965435395004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,358.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.0,6.0,0.0,0.0,7382.056463387569,0.0,358.0,0.0,0,6,0,2148,0
192.168.100.118,192.168.100.1,57405,53,17,2018-09-14 18:46:57,32731.999999999996,6690.700232188685,61.10228522546744,30.55114261273372,30.55114261273372,1,1,82,137,82.0,82.0,82.0,0.0,137.0,137.0,137.0,0.0,137,82,109.5,27.5,756.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,109.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,137.0,0,1,1,82,137
192.168.100.118,192.168.100.1,60627,53,17,2018-09-14 18:46:57,33484.0,6809.222315135587,59.7300203082069,29.86501015410345,29.86501015410345,1,1,82,146,82.0,82.0,82.0,0.0,146.0,146.0,146.0,0.0,146,82,114.0,32.0,1024.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,114.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,146.0,0,1,1,82,146
192.168.100.118,185.189.115.149,36349,123,17,2018-09-14 18:46:57,36231.0,4968.121222157821,55.20134691286467,27.600673456432336,27.600673456432336,1,1,90,90,90.0,90.0,90.0,0.0,90.0,90.0,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0,1,1,90,90
192.168.100.118,192.168.100.1,58752,53,17,2018-09-14 18:46:57,31996.999999999996,8625.808669562772,62.50585992436791,31.252929962183956,31.252929962183956,1,1,82,194,82.0,82.0,82.0,0.0,194.0,194.0,194.0,0.0,194,82,138.0,56.0,3136.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,194.0,0,1,1,82,194
